Image Index,AbsRel,SqRel,RMSE,RMSE_log,delta1,delta2,delta3
1003,0.027113204,0.002553734,0.088373266,0.013140185,0.999820631,1,1
1009,0.027201509,0.002816338,0.092106657,0.013702633,0.999740912,1,1
1010,0.031861862,0.002877845,0.087088384,0.014590857,0.99998007,1,1
1011,0.03361056,0.003522202,0.101283043,0.015755807,0.99996014,1,1
1020,0.021438487,0.001804785,0.073509245,0.010968057,0.999880421,1,1
1021,0.019308485,0.002497251,0.103057476,0.011068097,0.999820631,1,1
1022,0.019114932,0.001616268,0.073099917,0.009586578,0.99994021,1,1
1031,0.029143954,0.003084687,0.095691011,0.015235644,0.998963648,0.99996014,0.99998007
1032,0.034678418,0.003101485,0.08774583,0.015192335,1,1,1
1033,0.033449326,0.003301617,0.091861765,0.015428866,0.99994021,1,1
1037,0.020361725,0.001338157,0.05992123,0.010434454,0.999820631,1,1
1038,0.025863648,0.002344342,0.083784774,0.012042221,0.99998007,1,1
1047,0.018119904,0.001204619,0.05407156,0.010495715,0.999521684,1,1
1048,0.022686989,0.002044422,0.086672607,0.010607355,0.99996014,1,1
1051,0.027378024,0.002123055,0.07476885,0.012436385,1,1,1
1052,0.00969671,0.000403061,0.026419053,0.006841217,0.999860491,1,1
1056,0.02425781,0.002137121,0.082525357,0.011222238,0.99996014,1,1
1057,0.033934606,0.00305155,0.085940366,0.015215275,1,1,1
1074,0.021429714,0.001767099,0.07457708,0.010605846,1,1,1
1075,0.024987985,0.002097856,0.07954971,0.011610564,1,1,1
1076,0.028321559,0.003039534,0.086789203,0.015712674,0.99738919,0.99996014,1
1077,0.033589123,0.003094924,0.085638299,0.015717463,0.99996014,1,1
1078,0.025494889,0.002820525,0.087062526,0.015990788,0.999202806,0.99998007,1
1079,0.031860625,0.003352711,0.098944142,0.014622162,0.99994021,1,1
1080,0.02911779,0.004117103,0.114119185,0.018014476,0.994917889,0.99998007,1
1081,0.021347736,0.002234807,0.092849709,0.010796534,0.999880421,1,1
1082,0.035688179,0.00328158,0.089407371,0.015834397,1,1,1
1083,0.025579654,0.001734278,0.062507896,0.012447967,0.99998007,1,1
1087,0.034476425,0.005490408,0.116612258,0.023076734,0.987902583,0.996691645,1
1088,0.022972043,0.002486228,0.086286765,0.01282059,0.999003508,1,1
1089,0.030585388,0.002916628,0.081647303,0.015535545,1,1,1
1090,0.02542631,0.001985736,0.071812617,0.012511305,0.99998007,1,1
1091,0.028544439,0.002379747,0.077713843,0.013668176,1,1,1
1092,0.030294029,0.002512892,0.077457128,0.0142526,0.999900351,1,1
1093,0.029706903,0.002512691,0.081338743,0.013772237,1,1,1
1094,0.026186269,0.001823594,0.06514939,0.012650401,0.99994021,1,1
1095,0.01707124,0.000905103,0.046938175,0.008846539,1,1,1
1097,0.023028205,0.001870376,0.075394651,0.010781941,1,1,1
1098,0.023156883,0.002045106,0.08124735,0.010929937,1,1,1
1099,0.028209977,0.002171486,0.074095495,0.013167718,0.99998007,1,1
1100,0.021262963,0.001819132,0.075962362,0.01098979,0.999860491,1,1
1101,0.025087223,0.002245367,0.080337431,0.012121035,0.999641263,0.99998007,1
1102,0.026815195,0.002867739,0.091363647,0.01348137,1,1,1
1103,0.028419954,0.002048577,0.069288585,0.013194473,1,1,1
1105,0.024346689,0.002109387,0.076845615,0.012142471,0.999900351,1,1
1106,0.023433466,0.00218392,0.086446479,0.011406992,0.99998007,1,1
1107,0.02227555,0.002718474,0.106435593,0.011402148,1,1,1
1108,0.025778917,0.001759154,0.066010372,0.012114492,1,1,1
1116,0.023005452,0.002083028,0.084372031,0.010788361,0.99998007,1,1
1117,0.024416808,0.001416723,0.053071116,0.011547822,1,1,1
1118,0.02871958,0.001969925,0.061332669,0.01410769,0.999860491,0.99998007,1
1122,0.027502994,0.002179736,0.076123562,0.012801412,0.99996014,1,1
1123,0.021621446,0.002219942,0.082752108,0.011570653,0.998883929,1,1
1124,0.023300856,0.002010675,0.078292388,0.011061105,1,1,1
1125,0.026579773,0.001609223,0.058566704,0.012014416,1,1,1
1126,0.022526644,0.002286404,0.090075209,0.011496282,0.99994021,1,1
